Type,Weekday,Date,Date and Time,Bus,Route,Run,Trip,Driver,Fareset,Direction,Value,Description,Amount,Longitude,Latitude,Stop,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
106 - Route change,Monday,10/28/2019,10/28/2019 10:13,155,15,900,0,404,1, ,12,Route,0,-79.90743256,39.56272888,0,39.562607,-79.907394,1,rooftop,1686,Kingwood,,,Morgantown,WV,Monongalia County,26508,US,Statewide
107 - Run change,Tuesday,10/29/2019,10/29/2019 9:07,155,15,843,0,164,1, ,900,Run,0,-79.9769516,39.6321106,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
138 - GPS latitude/longitude,Tuesday,10/29/2019,10/29/2019 9:07,155,15,900,0,164,1, ,0,Not Used,0,-79.97693634,39.63209152,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
119 - Got fare,Tuesday,10/29/2019,10/29/2019 9:07,155,15,900,0,164,1, ,5,Key 5,0,-79.97693634,39.63209152,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
119 - Got fare,Tuesday,10/29/2019,10/29/2019 9:07,155,15,900,0,164,1, ,0,Preset,0.75,-79.97693634,39.63209152,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
119 - Got fare,Tuesday,10/29/2019,10/29/2019 9:07,155,15,900,0,164,1, ,5,Key 5,0,-79.97693634,39.63209152,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
119 - Got fare,Tuesday,10/29/2019,10/29/2019 9:07,155,15,900,0,164,1, ,4,Key 4,0,-79.97693634,39.63209152,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
129 - Special card,Tuesday,10/29/2019,10/29/2019 9:08,155,15,900,0,164,1, ,0,Not Used,0,-79.97693634,39.63209152,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
138 - GPS latitude/longitude,Tuesday,10/29/2019,10/29/2019 9:36,155,15,900,0,164,1, ,0,Not Used,0,-79.96811676,39.49309158,0,39.492896,-79.967985,1,rooftop,1862,Halleck,,,Morgantown,WV,Monongalia County,26508,US,Statewide
119 - Got fare,Tuesday,10/29/2019,10/29/2019 9:36,155,15,900,0,164,1, ,14,Key D,0,-79.96811676,39.49309158,0,39.492896,-79.967985,1,rooftop,1862,Halleck,,,Morgantown,WV,Monongalia County,26508,US,Statewide
138 - GPS latitude/longitude,Tuesday,10/29/2019,10/29/2019 10:06,155,15,900,0,164,1, ,0,Not Used,0,-79.97711945,39.63220978,0,39.632359,-79.978128,0.99,rooftop,727,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
119 - Got fare,Tuesday,10/29/2019,10/29/2019 10:06,155,15,900,0,164,1, ,14,Key D,0,-79.97711945,39.63220978,0,39.632359,-79.978128,0.99,rooftop,727,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
119 - Got fare,Tuesday,10/29/2019,10/29/2019 10:06,155,15,900,0,164,1, ,14,Key D,0,-79.97711945,39.63220978,0,39.632359,-79.978128,0.99,rooftop,727,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
106 - Route change,Tuesday,10/29/2019,10/29/2019 10:07,155,15,900,0,164,1, ,12,Route,0,-79.97711945,39.63220978,0,39.632359,-79.978128,0.99,rooftop,727,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
107 - Run change,Wednesday,10/30/2019,10/30/2019 9:07,155,15,824,0,496,1, ,900,Run,0,-79.95426941,39.62886047,0,39.628765,-79.954623,1,rooftop,276,Walnut,,,Morgantown,WV,Monongalia County,26505,US,Statewide
138 - GPS latitude/longitude,Wednesday,10/30/2019,10/30/2019 9:08,155,15,900,0,496,1, ,0,Not Used,0,-79.97692108,39.63208008,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
119 - Got fare,Wednesday,10/30/2019,10/30/2019 9:08,155,15,900,0,496,1, ,14,Key D,0,-79.97692108,39.63208008,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
129 - Special card,Wednesday,10/30/2019,10/30/2019 9:12,155,15,900,0,496,1, ,0,Not Used,0,-79.97692108,39.63208008,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
138 - GPS latitude/longitude,Wednesday,10/30/2019,10/30/2019 9:42,155,15,900,0,496,1, ,0,Not Used,0,-79.96804047,39.49306107,0,39.492896,-79.967985,1,rooftop,1862,Halleck,,,Morgantown,WV,Monongalia County,26508,US,Statewide
119 - Got fare,Wednesday,10/30/2019,10/30/2019 9:42,155,15,900,0,496,1, ,14,Key D,0,-79.96804047,39.49306107,0,39.492896,-79.967985,1,rooftop,1862,Halleck,,,Morgantown,WV,Monongalia County,26508,US,Statewide
106 - Route change,Wednesday,10/30/2019,10/30/2019 9:48,155,15,900,0,496,1, ,150,Route,0,-79.96804047,39.49306107,0,39.492896,-79.967985,1,rooftop,1862,Halleck,,,Morgantown,WV,Monongalia County,26508,US,Statewide
107 - Run change,Thursday,10/31/2019,10/31/2019 9:06,155,15,843,0,164,1, ,900,Run,0,-79.95810699,39.63019943,0,39.630115,-79.958308,1,rooftop,1233,University,,,Morgantown,WV,Monongalia County,26505,US,Statewide
138 - GPS latitude/longitude,Thursday,10/31/2019,10/31/2019 9:09,155,15,900,0,164,1, ,0,Not Used,0,-79.97692108,39.63206863,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
129 - Special card,Thursday,10/31/2019,10/31/2019 9:09,155,15,900,0,164,1, ,0,Not Used,0,-79.97692108,39.63206863,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
119 - Got fare,Thursday,10/31/2019,10/31/2019 9:10,155,15,900,0,164,1, ,5,Key 5,0,-79.97692108,39.63206863,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
119 - Got fare,Thursday,10/31/2019,10/31/2019 9:10,155,15,900,0,164,1, ,4,Key 4,0,-79.97692108,39.63206863,0,39.631883,-79.976638,1,rooftop,691,Fairmont,,,Morgantown,WV,Monongalia County,26501,US,Statewide
138 - GPS latitude/longitude,Thursday,10/31/2019,10/31/2019 9:37,155,15,900,0,164,1, ,0,Not Used,0,-79.9681015,39.49309158,0,39.492896,-79.967985,1,rooftop,1862,Halleck,,,Morgantown,WV,Monongalia County,26508,US,Statewide
119 - Got fare,Thursday,10/31/2019,10/31/2019 9:37,155,15,900,0,164,1, ,14,Key D,0,-79.9681015,39.49309158,0,39.492896,-79.967985,1,rooftop,1862,Halleck,,,Morgantown,WV,Monongalia County,26508,US,Statewide
106 - Route change,Thursday,10/31/2019,10/31/2019 9:54,183,15,1000,0,265,1, ,50,Route,0,-79.95571899,39.62966156,0,39.629728,-79.955622,1,rooftop,201,Walnut,,,Morgantown,WV,Monongalia County,26505,US,Statewide
106 - Route change,Thursday,10/31/2019,10/31/2019 10:07,155,15,900,0,164,1, ,12,Route,0,-79.9681015,39.49309158,0,39.492896,-79.967985,1,rooftop,1862,Halleck,,,Morgantown,WV,Monongalia County,26508,US,Statewide
